geneproductid,molecularfunctionid
GP00031295,MF00001889
GP00030832,MF00001891
GP00034480,MF00007362
GP00017874,MF00003620
GP00028565,MF00007362
GP00017058,MF00009092
GP00031193,MF00000130
GP00020325,MF00006718
GP00019984,MF00000412
GP00026304,MF00004637
GP00019903,MF00009681
GP00030305,MF00006717
GP00034063,MF00006717
GP00027420,MF00006677
GP00025141,MF00004773
GP00019536,MF00002062
GP00019655,MF00001565
GP00025382,MF00000408
GP00017439,MF00001915
GP00034704,MF00006717
GP00023112,MF00001934
GP00021384,MF00004641
GP00021755,MF00001891
GP00025651,MF00001690
GP00018338,MF00012020
GP00016984,MF00001944
GP00024657,MF00001891
GP00021264,MF00000142
GP00023807,MF00000607
GP00017381,MF00007160
GP00026928,MF00001891
GP00025506,MF00001706
GP00021711,MF00001412
GP00017863,MF00000437
GP00020822,MF00001891
GP00023580,MF00008268
GP00028357,MF00001891
GP00023774,MF00010423
GP00023291,MF00002802
GP00018313,MF00003496
GP00018975,MF00003871
GP00025146,MF00000373
GP00019234,MF00001294
GP00022243,MF00001681
GP00028794,MF00001608
GP00029581,MF00006644
GP00020438,MF00001891
GP00018837,MF00001368
GP00029883,MF00000474
GP00033750,MF00000457
GP00028622,MF00001617
GP00019747,MF00001591
GP00020660,MF00000130
GP00019406,MF00003778
GP00022708,MF00000408
GP00020207,MF00006060
GP00023774,MF00000129
GP00032396,MF00001891
GP00026794,MF00004675
GP00026463,MF00007362
GP00024382,MF00000428
GP00034841,MF00001891
GP00022215,MF00000248
GP00033164,MF00001912
GP00031556,MF00001891
GP00022919,MF00009127
GP00026656,MF00006284
GP00026637,MF00001891
GP00019659,MF00001891
GP00021711,MF00009662
GP00028542,MF00001706
GP00031766,MF00000132
GP00029168,MF00001940
GP00024737,MF00001891
GP00020896,MF00000372
GP00030670,MF00007362
GP00019340,MF00007652
GP00022458,MF00000476
GP00025832,MF00011685
GP00027912,MF00001891
GP00023508,MF00007305
GP00019401,MF00009681
GP00024208,MF00001611
GP00028530,MF00000681
